"actor_id","st","st_ratio","count","canon_ratio"
"100093484","Applied science",0.0577617328519856,16,0.28665785997358
"100093484","History and geography",0.108303249097473,30,0.28665785997358
"100093484","Information, general works",0.0072202166064982,2,0.28665785997358
"100093484","Language",0.0180505415162455,5,0.28665785997358
"100093484","Literature",0.166064981949458,46,0.28665785997358
"100093484","Natural science, mathematics",0.0180505415162455,5,0.28665785997358
"100093484","Philosophy",0.0252707581227437,7,0.28665785997358
"100093484","Religion",0.36101083032491,100,0.28665785997358
"100093484","Social sciences",0.23826714801444,66,0.28665785997358
"100093484","The arts",0,0,0.28665785997358
"100250810","Applied science",0.074468085106383,14,0.200968523002421
"100250810","History and geography",0.0904255319148936,17,0.200968523002421
"100250810","Information, general works",0.0904255319148936,17,0.200968523002421
"100250810","Language",0.127659574468085,24,0.200968523002421
"100250810","Literature",0.446808510638298,84,0.200968523002421
"100250810","Natural science, mathematics",0.0159574468085106,3,0.200968523002421
"100250810","Philosophy",0.0106382978723404,2,0.200968523002421
"100250810","Religion",0.0585106382978723,11,0.200968523002421
"100250810","Social sciences",0.0851063829787234,16,0.200968523002421
"100250810","The arts",0,0,0.200968523002421
"100328493","Applied science",0.0333333333333333,20,0.261074458058435
"100328493","History and geography",0.0816666666666667,49,0.261074458058435
"100328493","Information, general works",0.0283333333333333,17,0.261074458058435
"100328493","Language",0.0316666666666667,19,0.261074458058435
"100328493","Literature",0.123333333333333,74,0.261074458058435
"100328493","Natural science, mathematics",0.00333333333333333,2,0.261074458058435
"100328493","Philosophy",0.0166666666666667,10,0.261074458058435
"100328493","Religion",0.293333333333333,176,0.261074458058435
"100328493","Social sciences",0.386666666666667,232,0.261074458058435
"100328493","The arts",0.00166666666666667,1,0.261074458058435
"100920895","Applied science",0.1796875,23,0.103139013452915
"100920895","History and geography",0.046875,6,0.103139013452915
"100920895","Information, general works",0.0078125,1,0.103139013452915
"100920895","Language",0.0390625,5,0.103139013452915
"100920895","Literature",0.1953125,25,0.103139013452915
"100920895","Natural science, mathematics",0.09375,12,0.103139013452915
"100920895","Philosophy",0.1171875,15,0.103139013452915
"100920895","Religion",0.21875,28,0.103139013452915
"100920895","Social sciences",0.1015625,13,0.103139013452915
"100920895","The arts",0,0,0.103139013452915
"100968801","Applied science",0.00277008310249307,1,0.459234608985025
"100968801","History and geography",0.0470914127423823,17,0.459234608985025
"100968801","Information, general works",0,0,0.459234608985025
"100968801","Language",0,0,0.459234608985025
"100968801","Literature",0.0221606648199446,8,0.459234608985025
"100968801","Natural science, mathematics",0,0,0.459234608985025
"100968801","Philosophy",0.00277008310249307,1,0.459234608985025
"100968801","Religion",0.274238227146814,99,0.459234608985025
"100968801","Social sciences",0.650969529085873,235,0.459234608985025
"100968801","The arts",0,0,0.459234608985025
"101583814","Applied science",0.0952380952380952,2,0.0932203389830508
"101583814","History and geography",0.0476190476190476,1,0.0932203389830508
"101583814","Information, general works",0,0,0.0932203389830508
"101583814","Language",0.523809523809524,11,0.0932203389830508
"101583814","Literature",0.0952380952380952,2,0.0932203389830508
"101583814","Natural science, mathematics",0,0,0.0932203389830508
"101583814","Philosophy",0,0,0.0932203389830508
"101583814","Religion",0,0,0.0932203389830508
"101583814","Social sciences",0.238095238095238,5,0.0932203389830508
"101583814","The arts",0,0,0.0932203389830508
"10165351","Applied science",0.0480769230769231,10,0.328220858895706
"10165351","History and geography",0.0961538461538462,20,0.328220858895706
"10165351","Information, general works",0.0336538461538462,7,0.328220858895706
"10165351","Language",0.0913461538461538,19,0.328220858895706
"10165351","Literature",0.495192307692308,103,0.328220858895706
"10165351","Natural science, mathematics",0.0384615384615385,8,0.328220858895706
"10165351","Philosophy",0.0192307692307692,4,0.328220858895706
"10165351","Religion",0.0673076923076923,14,0.328220858895706
"10165351","Social sciences",0.100961538461538,21,0.328220858895706
"10165351","The arts",0.00961538461538462,2,0.328220858895706
"101963169","Applied science",0,0,0
"101963169","History and geography",0,0,0
"101963169","Information, general works",0,0,0
"101963169","Language",0,0,0
"101963169","Literature",0.285714285714286,2,0
